County,Age Range,Population
Warren,30-39,31257
Warren,40-49,33999
Warren,50-59,34810
Warren,60-69,27558
Warren,70-79,16062
Warren,80+,7681
Washington,0-19,13423
Washington,20-29,7020
Washington,30-39,6712
Washington,40-49,6968
Washington,50-59,8187
Washington,60-69,8781
Washington,70-79,5704
Washington,80+,2976
Wayne,0-19,31938
Wayne,20-29,14514
Wayne,30-39,13549
Wayne,40-49,13039
Wayne,50-59,14714
Wayne,60-69,14787
Wayne,70-79,9343
Wayne,80+,5010
Williams,0-19,9238
Williams,20-29,4225
Williams,30-39,4398
Williams,40-49,4405
Williams,50-59,4882
Williams,60-69,5123
Williams,70-79,3099
Williams,80+,1732
Wood,0-19,33422
Wood,20-29,24455
Wood,30-39,15358
Wood,40-49,14854
Wood,50-59,15386
Wood,60-69,15192
Wood,70-79,9061
Wood,80+,4520
Wyandot,0-19,5429
Wyandot,20-29,2343
Wyandot,30-39,2550
Wyandot,40-49,2714
Wyandot,50-59,2948
Wyandot,60-69,2956
Wyandot,70-79,1882
Wyandot,80+,1078
